UK Food,US Matches
"Oatmeal, raw","Oats, raw(76.19% match #57602100); Watermelon, raw(74.07% match #63149010); Jicama, raw(69.57% match #75111800); "
"Oatmeal, quick cook, raw",
"Bran, wheat","Bagel, wheat(78.26% match #51301700); Bran Chex(70.0% match #57111000); Crackers, wheat(69.23% match #54338000); "
"Rusks, plain","Pancakes, plain(66.67% match #55101000); Nougat, plain(64.0% match #91726000); "
"Rusks, flavoured","Popcorn, flavored(60.61% match #54403050); "
"Rusks, low sugar",
"Baby cereals, wheat-based","Bagel, wheat, toasted(65.22% match #51301710); Bagel, wheat bran, toasted(62.75% match #51301910); "
"Baby cereals, rice-based","Bread, rice, toasted(63.64% match #51806020); "
"Rusks, wholemeal",
"Baby cereals, various cereal-based",
"Pasta, plain, fresh, raw","Pear, Japanese, raw(65.12% match #63137050); Passion fruit, raw(61.9% match #63134010); Pancakes, plain, fat free(61.22% match #55101020); "
"Noodles, egg, fried","Tomatoes, red, dried(66.67% match #74206000); Clams, coated, fried(61.54% match #26303140); Goose egg, cooked(61.11% match #31202000); "
"Ravioli, canned in tomato sauce","Ravioli, cheese-filled, with tomato sauce(75.0% match #58131520); Ravioli, cheese and spinach filled, with tomato sauce(71.43% match #58131610); Ravioli, cheese-filled, with meat sauce(68.57% match #58131530); "
Macaroni cheese,"Macaroni, creamed(75.0% match #58147310); Nachos with cheese(66.67% match #58104120); Macaroni or noodles with cheese(65.22% match #58145110); "
"Spaghetti, wholemeal, boiled","Spaghetti sauce, meatless(60.38% match #74404010); "
"Spaghetti, wholemeal, raw","Egg, whole, raw(65.0% match #31101010); "
"Spaghetti, white, boiled","Spaghetti with white clam sauce(65.45% match #58132820); Dasheen, boiled(61.54% match #71962010); Spaghetti sauce, meatless(61.22% match #74404010); "
"Spaghetti, white, raw","Spaghetti with white clam sauce(65.38% match #58132820); Squash, winter type, raw(62.22% match #73302010); Cabbage, Chinese, raw(61.9% match #75104000); "
"Pasta, fresh, cheese and vegetable stuffed, cooked",Pasta with cheese and meat sauce(60.98% match #58146120); 
"Pasta, plain, fresh, cooked","Pork, pigs feet, cooked(64.0% match #22707010); Papaya, green, cooked(62.5% match #63133050); Pancakes, plain, fat free(61.54% match #55101020); "
"Macaroni, boiled","Macaroni, creamed(72.73% match #58147310); Banana, ripe, boiled(66.67% match #63107310); Dasheen, boiled(64.52% match #71962010); "
"Macaroni, raw","Macaroni, creamed(80.0% match #58147310); Calamondin, raw(71.43% match #61100500); Mango, raw(69.57% match #63129010); "
"Vermicelli, raw","Watermelon, raw(66.67% match #63149010); Broccoli, raw(64.29% match #72201100); Tangerine, raw(62.07% match #61125010); "
"Noodles, rice, dried","Tomatoes, red, dried(75.0% match #74206000); "
"Noodles, plain, boiled","Ripe plantain, boiled(69.77% match #71905010); "
"Noodles, plain, raw","Ripe plantain, raw(64.86% match #71905000); Beans, lima, raw(62.86% match #75102000); Pepper, poblano, raw(61.54% match #75121400); "
"Noodles, egg, boiled","Goose egg, cooked(64.86% match #31202000); Roll, egg bread(62.86% match #51154550); Tomatoes, from fresh, broiled(61.22% match #74202011); "
"Noodles, egg, raw","Tomatoes, green, raw(64.86% match #74102000); Peas, green, raw(60.61% match #75120000); "
"Lasagna, sheets, raw","Banana, Chinese, raw(65.0% match #63107070); Cabbage, green, raw(61.54% match #75103000); Peas, green, raw(61.11% match #75120000); "
"Lasagna, sheets, boiled","Banana, ripe, boiled(69.77% match #63107310); Dasheen, boiled(68.42% match #71962010); "
"Shortcrust pastry, cooked","Pork, ground or patty, cooked(62.96% match #22002000); Salt pork, cooked(61.9% match #22621000); "
"Wholemeal pastry, cooked","Pheasant, cooked(65.0% match #24404100); Whole wheat, cracked(63.64% match #57604100); Bear, cooked(61.11% match #23323500); "
"Choux pastry, cooked","Pheasant, cooked(66.67% match #24404100); Ostrich, cooked(62.86% match #23350100); Corn, dried, cooked(61.54% match #75216070); "
Cheese pastry,"Cheese pastry puffs(81.25% match #53452450); Cheese, Monterey(68.97% match #14106200); Cheese, Muenster(68.97% match #14107200); "
"Wholemeal pastry, raw",
"Flaky pastry, cooked","Salami, soft, cooked(65.0% match #25221510); Ostrich, cooked(62.86% match #23350100); Pheasant, cooked(61.11% match #24404100); "
"Puff pastry, frozen, raw","Peas, green, raw(65.0% match #75120000); "
"Flaky pastry, raw","Papaya, raw(64.29% match #63133010); "
"Shortcrust pastry, raw",
"Shortcrust pastry, frozen, raw",
"Choux pastry, raw","Chard, raw(66.67% match #72104100); Corn, raw(61.54% match #75109600); "
"Fruit pie, with pie filling","Fruit juice drink, with high vitamin C(61.54% match #92530610); "
Bread and butter pudding,
"Crumble, with pie filling","Cherry pie filling(65.12% match #63113030); Lemon pie filling(61.9% match #61113500); Cookie, brownie, with icing or filling(60.32% match #53204100); "
"Crumble, apple","Cobbler, apple(78.57% match #53410100); Strudel, apple(71.43% match #53440000); Fritter, apple(64.29% match #53415120); "
"Crumble, fruit","Bread, fruit(69.23% match #52405010); Waffle, fruit(66.67% match #55203000); Ice, fruit(66.67% match #91601000); "
Eve's pudding,Noodle pudding(66.67% match #58149110); 
"Flan case, pastry",Flour and water patty(63.16% match #55501000); 
"Flan case, sponge",
"Flan, pastry, with fruit","Danish pastry, with fruit(85.71% match #53510100); Pancakes, with fruit(72.73% match #55103000); Tamale, sweet, with fruit(69.39% match #53430750); "
Bakewell tart,
"Pancakes, sweet, made with skimmed milk",
"Fruit pie, wholemeal, pastry top and bottom, blackcurrant",
"Fruit pie, wholemeal, with pie filling","Cookie, oatmeal sandwich, with creme filling(60.98% match #53233050); Cake or cupcake, white, with icing or filling(60.24% match #53120270); "
Queen of Puddings,
Sponge pudding,Noodle pudding(71.43% match #58149110); Potato pudding(64.29% match #71702000); 
"Sponge pudding, with dried fruit","Scone, with fruit(65.31% match #52105200); Noodle pudding, with milk(63.16% match #58149160); "
"Sponge pudding, with jam or treacle","Noodle pudding, with milk(63.33% match #58149160); "
Spotted dick,
Suet pudding,Noodle pudding(69.23% match #58149110); Potato pudding(69.23% match #71702000); 
"Flan, sponge, with fruit","Scone, with fruit(73.17% match #52105200); Tamale, sweet, with fruit(69.39% match #53430750); Pancakes, with fruit(68.18% match #55103000); "
Lemon meringue pie,"Pie, lemon meringue(70.27% match #53381000); "
"Christmas pudding, retail",
"Bakewell tart, individual",
"Rice desserts, with fruit, individual, chilled",Gelatin dessert with fruit and cream cheese(62.92% match #91501080); Gelatin dessert with fruit and sour cream(62.07% match #91501070); Gelatin dessert with fruit and vegetables(62.07% match #91501120); 
"Christmas pudding, homemade",
"Fruit pie, individual","Fruit peel, candied(70.0% match #91708000); "
"Apple pie, wholemeal, pastry top and bottom",
"Sponge pudding, canned","Squid, canned(62.86% match #26213190); "
Bread pudding,"Bread stuffing(74.07% match #51182010); Bread, pumpkin(74.07% match #52404060); Noodle pudding(66.67% match #58149110); "
"Crumble, fruit, wholemeal","Buttermilk, fluid, whole(61.22% match #11115300); "
"Apple pie, pastry top and bottom",
"Fruit pie, pastry top and bottom",
"Fruit pie, pastry top and bottom, blackcurrant",
"Fruit pie, wholemeal, one crust","Pie, apple, one crust(65.38% match #53301500); Pie, peach, one crust(65.38% match #53307050); Pie, cherry, one crust(64.15% match #53305010); "
"Fruit pie, wholemeal, pastry top and bottom",
"Pancakes, sweet, made with whole milk","Eggnog, made with whole milk(70.77% match #11531000); Pancakes, with chocolate chips(62.69% match #55103100); "
Treacle tart,Breakfast tart(61.54% match #53530000); 
"Apple pie, one crust","Pie, apple, one crust(73.17% match #53301500); Pie, peach, one crust(73.17% match #53307050); Pie, prune, one crust(73.17% match #53308500); "
"Apple pie, wholemeal, one crust","Pie, peach, one crust(65.38% match #53307050); Pie, cherry, one crust(64.15% match #53305010); Pie, rhubarb, one crust(62.96% match #53311050); "
"Fruit pie, one crust","Pie, apple, one crust(73.17% match #53301500); Pie, peach, one crust(73.17% match #53307050); Pie, prune, one crust(68.29% match #53308500); "
"Crumble, fruit, retail","Carambola (starfruit), raw(62.5% match #63109700); "
"Brown rice, boiled","Banana, ripe, boiled(73.68% match #63107310); Cornmeal sticks, boiled(63.41% match #56201560); "
"Egg fried rice, takeaway",
"White rice, easy cook, raw",
"White rice, easy cook, boiled",
"Red rice, boiled","Bread, rice, toasted(66.67% match #51806020); Banana, ripe, boiled(66.67% match #63107310); Ripe plantain, boiled(64.86% match #71905010); "
"Pilau, plain","Halvah, plain(72.0% match #91716010); Waffle, plain(64.0% match #55201000); Nougat, plain(64.0% match #91726000); "
"White rice, fried","Cherries, dried(68.75% match #62106000); Pie, apricot, fried pie(65.0% match #53302080); Dasheen, fried(64.52% match #71962020); "
"Brown rice, raw","Ground beef, raw(64.52% match #21500000); Blueberries, raw(64.52% match #63203010); Cranberries, raw(64.52% match #63207010); "
"Savoury rice, cooked","Squirrel, cooked(72.22% match #23333100); Sardines, cooked(72.22% match #26139110); Corn, dried, cooked(71.79% match #75216070); "
"White rice, polished, raw",
"White rice, parboiled","Cherries, dried(61.11% match #62106000); Dasheen, boiled(61.11% match #71962010); "
"White rice, glutinous, boiled","Rice, white, cooked, glutinous(61.02% match #56205190); "
"White rice, glutinous, raw","Rice, white, cooked, glutinous(64.29% match #56205190); "
"White rice, flaked, raw","Raspberries, black, raw(60.87% match #63219010); "
"Savoury rice, raw","Strawberries, raw(64.71% match #63223020); Youngberries, raw(64.71% match #63224000); Garlic, raw(64.29% match #75111500); "
"White rice, basmati, raw","Watercress, raw(61.54% match #72130100); "
"Red rice, raw","Tangerine, raw(66.67% match #61125010); Nectarine, raw(66.67% match #63131010); Radicchio, raw(66.67% match #72124100); "
"White rice, polished, boiled",
Granary rolls,
Wholemeal rolls,
"White rolls, soft","Pretzels, soft(64.52% match #54408020); "
"White rolls, crusty","White pizza, thin crust(61.9% match #58107220); White pizza, thick crust(60.47% match #58107230); "
Croissants,"Croissant(94.74% match #51166000); Croissant, cheese(74.07% match #51166100); Croissant, fruit(69.23% match #51166500); "
"Brown rolls, soft",
"Brown rolls, crusty",
"Croissants, sweet, retail","Croissant, cheese(66.67% match #51166100); "
"Croissants, savoury, retail","Croissant, fruit(60.47% match #51166500); "
Morning rolls,
Hamburger buns,"Hamburger, plain, on bun(68.42% match #27510500); "
"Pancakes, savoury, wholemeal, made with whole milk","Eggnog, made with whole milk(61.54% match #11531000); Perch, baked or broiled, made with oil(61.36% match #26127120); Salmon, baked or broiled, made with oil(60.67% match #26137120); "
Dumplings,"Dumpling, plain(66.67% match #55610300); "
"Pancakes, savoury, made with whole milk","Eggnog, made with whole milk(71.64% match #11531000); Beer cheese soup, made with milk(64.79% match #14710200); Coffee, mocha, made with soy milk(61.11% match #92101960); "
"Risotto, plain","Nougat, plain(66.67% match #91726000); "
"Stuffing, sage and onion",
"Yorkshire pudding, made with whole milk","Eggnog, made with whole milk(71.64% match #11531000); Noodle pudding, with milk(65.62% match #58149160); "
Pakoras,
"Yorkshire pudding, made with skimmed milk","Noodle pudding, with milk(63.64% match #58149160); "
Chinese flaky pastries,
"Prawn crackers, takeaway","Pancakes, buckwheat(60.47% match #55105000); "
"Pancakes, savoury, made with skimmed milk","Beer cheese soup, made with milk(63.01% match #14710200); "
"Cheese and onion rolls, pastry",
"Cheese nachos, takeaway","Cheese sandwich, hoagie(60.87% match #14640200); Cheesecake(60.61% match #53104500); "
"Stuffing mix, dried, made up",
"Stuffing mix, dried","Squid, dried(64.52% match #26213170); Shrimp, dried(62.5% match #26319170); "
"Spaghetti, canned in tomato sauce","Spaghetti with tomato sauce, meatless(68.57% match #58132110); Spaghetti with tomato sauce and poultry(66.67% match #58132910); Peas, cooked, from canned, with tomato sauce(64.94% match #75417033); "
"Spaghetti, canned in bolognese sauce","Spaghetti with red clam sauce(61.54% match #58132810); Spinach, cooked, from canned, with cheese sauce(60.24% match #72125253); "
"Meat buns, Chinese",
Couscous,Cocoa Puffs(63.16% match #57128000); 
Chevra and chana chur,
Masur,
"Sandwich, Ham salad, white bread","Fish sandwich, on bun, with spread(60.61% match #27550000); "
"Sandwich, Egg mayonnaise, white bread","Fish sandwich, on bun, with spread(61.97% match #27550000); "
"Sandwich, Tuna mayonnaise, white bread",
"Sandwich, Cheddar cheese and pickle, white bread","Chicken sandwich, with cheese and spread(61.36% match #27540111); "
"Sandwich, Bacon, lettuce and tomato, white bread","Bacon, lettuce, and tomato sandwich with spread(71.58% match #27520150); Sardine sandwich, with lettuce and spread(60.67% match #27550510); "
"Sandwich, Chicken salad, white bread","Chicken sandwich, with spread(64.62% match #27540110); "
"Pizza, vegetarian","Baked beans, vegetarian(65.0% match #41201020); "
"Pizza, cheese and tomato, thin base","Pizza, cheese, prepared from frozen, thin crust(68.29% match #58106200); Pizza, cheese, with fruit, thin crust(66.67% match #58106358); Pizza, no cheese, thin crust(66.67% match #58107050); "
"Pizza, cheese and tomato, deep pan","Pasta with cheese and tomato sauce, meatless(61.54% match #58146150); "
"Pizza, fish topped, takeaway",
"Pizza, ham and pineapple, chilled","Pie, pineapple cream(60.38% match #53346500); "
"Pizza, meat topped",
"Pizza, cheese and tomato, takeaway",Eggplant with cheese and tomato sauce(61.97% match #75412070); 
"Pizza, cheese and tomato, french bread",
"Pizza, cheese and tomato, frozen","Pizza, cheese, prepared from frozen, thin crust(65.82% match #58106200); Pizza, cheese, prepared from frozen, thick crust(65.0% match #58106205); Eggplant with cheese and tomato sauce(60.87% match #75412070); "
"Pizza base, raw","Parsley, raw(66.67% match #75119000); Pineapple, raw(62.07% match #63141010); Jicama, raw(61.54% match #75111800); "
"Pizza, chicken topped, chilled",
"Omelette, Spanish",
"Quiche, Lorraine, wholemeal pastry",
"Souffle, plain","Waffle, plain(81.48% match #55201000); Toffee, plain(81.48% match #91760000); Dumpling, plain(62.07% match #55610300); "
"Quiche, mushroom, wholemeal",
"Quiche, mushroom","Gravy, mushroom(64.52% match #28500100); "
"Quiche, Lorraine",
"Quiche, cheese and egg, wholemeal",
"Quiche, cheese and egg","Strudel, cheese and fruit(63.83% match #53440800); "
"Omelette, cheese","Strudel, cheese(64.52% match #53440600); Bread, cheese(62.07% match #51111010); "
